...1,mes,volume
GASA,2017-01-01,87.137128741612898
GASN,2017-01-01,22.8025778216129
Gás Total,2017-01-01,109.939706563226
GASA,2017-02-01,86.183654744642794
GASN,2017-02-01,20.455147595714301
Gás Total,2017-02-01,106.638802340357
GASA,2017-03-01,80.9584133496774
GASN,2017-03-01,20.387362082580601
Gás Total,2017-03-01,101.34577543225799
GASA,2017-04-01,80.965377223666593
GASN,2017-04-01,21.615684307666701
Gás Total,2017-04-01,102.58106153133301
GASA,2017-05-01,83.584716871612898
GASN,2017-05-01,21.1957393790323
Gás Total,2017-05-01,104.780456250645
GASA,2017-06-01,87.323483596666705
GASN,2017-06-01,23.810470023000001
Gás Total,2017-06-01,111.133953619667
GASA,2017-07-01,86.699007724193507
GASN,2017-07-01,28.307002371612899
Gás Total,2017-07-01,115.006010095806
GASA,2017-08-01,83.661033751290304
GASN,2017-08-01,28.179014378387102
Gás Total,2017-08-01,111.840048129677
GASA,2017-09-01,86.827874535000007
GASN,2017-09-01,27.178507589999999
Gás Total,2017-09-01,114.006382125
GASA,2017-10-01,85.558766722903201
GASN,2017-10-01,29.045304823871
Gás Total,2017-10-01,114.60407154677399
GASA,2017-11-01,84.970015506999999
GASN,2017-11-01,28.4400658686667
Gás Total,2017-11-01,113.410081375667
GASA,2017-12-01,84.234996062903207
GASN,2017-12-01,29.137698906129
Gás Total,2017-12-01,113.372694969032
GASA,2018-01-01,84.847573778387101
GASN,2018-01-01,27.572477118387098
Gás Total,2018-01-01,112.420050896774
GASA,2018-02-01,88.649339606785702
GASN,2018-02-01,21.1634575496428
Gás Total,2018-02-01,109.812797156429
GASA,2017-03-01,80.9584133496774
GASN,2017-03-01,20.387362082580601
Gás Total,2017-03-01,101.34577543225799
GASA,2017-04-01,80.965377223666593
GASN,2017-04-01,21.615684307666701
Gás Total,2017-04-01,102.58106153133301
GASA,2017-05-01,83.584716871612898
GASN,2017-05-01,21.1957393790323
Gás Total,2017-05-01,104.780456250645
GASA,2017-06-01,87.323483596666705
GASN,2017-06-01,23.810470023000001
